Поступление товаров,,,,,,,,,,
"Группировки строк: Ссылка.Магазин; Ссылка; 
Дополнительные поля: Номенклатура; Характеристика номенклатуры; Номенклатура.Код; Количество; Ставка НДС; Сумма НДС; Цена; Сумма; Ссылка.Магазин; Ссылка.Дата; Ссылка.Номер; Ссылка.Контрагент; Ссылка.Сумма документа; Ссылка.Проведен; 
Отбор: Ссылка.Дата Больше или равно ""21.06.2013 0:00:00"" И Ссылка.Дата Меньше или равно ""30.10.2013 23:50:00""",,,,,,,,,,
,,,,,,,,,,
Ссылка,,,,,Шапка,,,,,
,,,,,Ссылка.Магазин,,,,,
"Номенклатура, Код",Характеристика номенклатуры,Количество,Цена,Сумма,Шапка,,,,,
,,,,,Ссылка.Магазин,Ссылка.Дата,Ссылка.Номер,Ссылка.Контрагент,Ссылка.Сумма документа,Ссылка.Проведен
,,,,,Магазин Галерея,,,,,
"Джинсы AMN 4010 STN, ЦБ000003962",,10.000,"3,200.00","32,000.00",,,,,,
"Брюки 4034 STN, ЦБ000003964",,5.000,"3,400.00","17,000.00",,,,,,
"Брюки AMN 4020 STN, ЦБ000003965",,10.000,"3,200.00","32,000.00",,,,,,
"Платье AMN 6027 STN, ЦБ000003966",,8.000,"3,000.00","24,000.00",,,,,,
Поступление товаров ЦБ000000109 от 30.07.2013 14:15:18,,,,,Магазин Галерея,30.07.2013 14:15:18,ЦБ000000109,AMN,"261,800.00",Да
"Брюки Rinascimento 57442, ЦБ000003985",,12.000,"3,500.00","42,000.00",,,,,,
"Брюки Rinascimento 56990, ЦБ000003986",,6.000,"2,800.00","16,800.00",,,,,,
"Брюки Rinascimento 57136, ЦБ000003987",,4.000,"2,800.00","11,200.00",,,,,,
"Платье Rinascimento 56859, ЦБ000003988",,6.000,"3,300.00","19,800.00",,,,,,
"Пиджак Rinascimento 57312, ЦБ000003989",,4.000,"2,700.00","10,800.00",,,,,,
"Платье Rinascimento 57352, ЦБ000003990",,4.000,"3,700.00","14,800.00",,,,,,
"Платье Rinascimento 57421, ЦБ000003991",,4.000,"3,700.00","14,800.00",,,,,,
"Платье Rinascimento 57419, ЦБ000003992",,4.000,"3,700.00","14,800.00",,,,,,
"Платье Rinascimento 57023, ЦБ000003993",,4.000,"3,100.00","12,400.00",,,,,,
"Платье Rinascimento 56919, ЦБ000003994",,4.000,"3,400.00","13,600.00",,,,,,
"Платье Rinascimento 57025, ЦБ000003995",,2.000,"3,500.00","7,000.00",,,,,,
"Кофта Rinascimento 06297, ЦБ000003996",,12.000,"3,300.00","39,600.00",,,,,,
"Кофта Rinascimento 06348, ЦБ000003997",,14.000,"2,800.00","39,200.00",,,,,,
"Кофта Rinascimento 57218, ЦБ000003998",,2.000,"2,500.00","5,000.00",,,,,,
Поступление товаров ЦБ000000114 от 02.08.2013 21:59:32,,,,,Магазин Галерея,02.08.2013 21:59:32,ЦБ000000114,AMN,"174,050.00",Да
"Туника Sogo, ЦБ000002797",,2.000,"2,500.00","5,000.00",,,,,,
"Платье Rinascimento, 00000000345",,1.000,"1,500.00","1,500.00",,,,,,
"Футболка Denny Rose 9275, ЦБ000003909",,1.000,"3,000.00","3,000.00",,,,,,
"Cарафан Sirius, ЦБ000003299",,4.000,"2,600.00","10,400.00",,,,,,
"Платье Colore, ЦБ000003369",,1.000,"2,800.00","2,800.00",,,,,,
"Платье Colore, ЦБ000003307",,2.000,"2,800.00","5,600.00",,,,,,
"Платье , ЦБ000003384",,2.000,"3,300.00","6,600.00",,,,,,
"Платье Denny Rose, 00000000228",,1.000,"1,000.00","1,000.00",,,,,,
"Платье Denny Rose, ЦБ000002708",,1.000,"5,800.00","5,800.00",,,,,,
"Туника Deny Rose , ЦБ000003391",,2.000,"3,900.00","7,800.00",,,,,,
"Платье Denny rose, ЦБ000002791",,1.000,"5,200.00","5,200.00",,,,,,
"Рубашка SOGO, ЦБ000002434",,1.000,"2,500.00","2,500.00",,,,,,
"Платье Perize, ЦБ000003208",,2.000,"2,500.00","5,000.00",,,,,,
"Футболка AMN, ЦБ000002235",,1.000,"1,100.00","1,100.00",,,,,,
"Майка AMN, ЦБ000002232",,2.000,"1,100.00","2,200.00",,,,,,
"Майка SOGO, ЦБ000003247",,6.000,900.00,"5,400.00",,,,,,
"Платье DIana Fon, ЦБ000003136",,1.000,"3,200.00","3,200.00",,,,,,
"Сарафан Sogo, ЦБ000002247",,1.000,"4,300.00","4,300.00",,,,,,
"Платье 202, ЦБ000003482",,1.000,"4,500.00","4,500.00",,,,,,
"Платье SOGO , ЦБ000002576",,1.000,"5,200.00","5,200.00",,,,,,
"Платье Victoria Bekham, ЦБ000003283",,1.000,"3,900.00","3,900.00",,,,,,
"Платье DG, ЦБ000003285",,1.000,"3,900.00","3,900.00",,,,,,
"Платье Denny Rose, ЦБ000002290",,1.000,"4,500.00","4,500.00",,,,,,
"Платье Nelly, ЦБ000002164",,1.000,"3,700.00","3,700.00",,,,,,
